epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
27,0.46875,0.4675234799802275,0.47337278106508873,0.4934927214884798,0.4668665667166416,0.4955583756345179,0.44445551459599486,0.46714172604908943,0.44837255883825744,0.45921173235563706,0.4761231986436847,0.4654194447208676,0.4761709961137247,0.4964598084131612,0.47170193378556236,0.4940434477925719,0.4560524286815728,0.465834758981584,0.4484075153220135,0.4588594704684318
27,0.09969,0.09909,0.1016,0.10466,0.1,0.10573,0.09609,0.09984,0.09579,0.09751,0.09994,0.0994,0.1018,0.10452,0.10015,0.10525,0.09597,0.09957,0.09562,0.09778
28,0.46986074593436555,0.4681566455696201,0.4811272764269,0.49427185468056556,0.4691283292978208,0.4956744003145891,0.44879873966128403,0.46523413744171904,0.4556396816152203,0.4585783555142887,0.4678639895066088,0.4650180940892642,0.48410879744943713,0.5014785843747019,0.4746416213544242,0.5018013381369018,0.452617240708309,0.46593611082394293,0.4503431570448123,0.4587192911800241
28,0.09971,0.09927,0.10168,0.10475,0.09995,0.10568,0.09571,0.09974,0.09601,0.09749,0.09973,0.09926,0.10201,0.10483,0.1003,0.10525,0.09603,0.09939,0.09553,0.09767
29,0.4642786069651741,0.4676214833759591,0.48699740907782363,0.4918097493585948,0.4727730246602919,0.4978876214617659,0.4463805635766205,0.46698679471788707,0.4504639329542053,0.4666666666666667,0.46714385127746294,0.46394037066881544,0.4881498098117625,0.4912625171804438,0.47200637577206617,0.49776251430950147,0.4488906497622821,0.4653264290790944,0.44807768529528347,0.4592517694641052
29,0.09946,0.09941,0.10185,0.10481,0.1,0.10578,0.0954,0.09945,0.09596,0.09788,0.09977,0.09918,0.10237,0.10483,0.1002,0.10543,0.09612,0.09904,0.09547,0.09759
30,0.4738610119672475,0.4654018971542685,0.48693957115009745,0.49301519322932597,0.47109594540345245,0.49832368180432807,0.46358623312416813,0.46985098194019537,0.4501697623327342,0.46028225806451606,0.4645122918318795,0.46497584541062786,0.4811311260943947,0.4898614735996789,0.4812691131498471,0.5002633519435373,0.45140515222482436,0.4694040263105441,0.44822751852593623,0.45655704425497357
30,0.09966,0.09929,0.10209,0.1047,0.09985,0.10553,0.09583,0.09928,0.09588,0.0979,0.09962,0.099,0.10235,0.10482,0.1007,0.10561,0.09599,0.09903,0.09543,0.09744
31,0.4706399609184171,0.4664543101732034,0.4818325434439179,0.48815165876777245,0.4752435871942733,0.4960438222763238,0.4437350359138069,0.47092966060009844,0.4508937537658164,0.4583587863978823,0.466169105371698,0.4642535746425358,0.47708082026538,0.48926108374384236,0.4646135019375892,0.49144996458565215,0.44916420845624383,0.46677294012155024,0.45107351340655,0.4556870818322182
31,0.09973,0.09921,0.1024,0.10454,0.10006,0.10551,0.09546,0.09942,0.09583,0.09785,0.09958,0.09881,0.10234,0.10496,0.10053,0.10568,0.09602,0.09922,0.09551,0.09734
